REWARD_SEGMENT,FIN_PERIOD_NO,REDEMPTIONS,PTS_REDEEMED
JS ARGOS,202110,16573,72635420
Potential Breakage,202112,18677,136569316
Unknown,202207,1036,2807858
Unknown,202108,175,655698
Potential Breakage,202206,5708,33744582
JS High Value,202208,55292,159294129
JS High Value,202112,45757,191783392
Unknown,202105,225,570787
Out of Group,202202,18838,48886896
JS Low Value,202101,32444,41153234
JS Low Value,202204,155358,162300469
Argos Only,202107,10032,36550944
JS ARGOS,202102,3520,12056524
JS Low Value,202111,100936,179979112
Lapsed,202204,55906,245827184
JS High Value,202105,20465,76876070
,202102,505,1590912
Potential Breakage,202202,6117,39756406
JS High Value,202106,21649,80719728
Nursery,202110,17796,47436573
Ghost,202105,770,4061796
Potential Breakage,202204,5973,36305244
Ghost,202102,606,2984836
Potential Breakage,202102,3221,23349592
JS Low Value,202110,64660,89808501
JS Low Value,202108,39293,46224313
Out of Group,202205,28555,56368879
Unknown,202112,368,1265732
Unknown,202201,473,1160750
Unknown,202113,420,1152946
JS Low Value,202112,63191,76296602
Out of Group,202208,25235,31719525
JS High Value,202206,116905,365353496
Unknown,202109,427,1943493
JS ARGOS,202205,46575,122781770
,202108,690,1735674
Out of Group,202102,4351,12321510
JS High Value,202107,22638,80242662
Lapsed,202113,41641,149018957
Argos Only,202111,28486,118820186
JS ARGOS,202108,6223,20197132
Unknown,202208,449,1406724
Nursery,202111,31336,121829474
Nursery,202109,10875,21279639
JS ARGOS,202203,27151,80353158
Argos Only,202104,8158,33026078
Group Mix,202109,6751,22414770
Ghost,202202,1459,8095200
Potential Breakage,202104,3723,24989240
Group Mix,202208,37769,69184159
JS High Value,202109,31115,131363241
Out of Group,202110,13339,36850877
Lapsed,202207,54694,229853758
JS High Value,202204,89910,320247592
Lapsed,202107,31249,116258302
Ghost,202109,504,2851400
Group Mix,202201,18503,53949967
JS Low Value,202107,38706,43957484
JS High Value,202102,16467,66898428
JS Low Value,202202,107832,129927840
Ghost,202206,1056,5081816
JS ARGOS,202103,4177,14538422
Group Mix,202112,11464,36035087
JS Christmas,202206,32210,95935048
JS Low Value,202205,184807,185107650
JS ARGOS,202113,15293,44057826
Never Redeemed,202204,13070,53492538
JS Christmas,202104,11876,38354658
,202202,929,3016032
Ghost,202203,1783,10780300
JS ARGOS,202101,3887,12316826
JS High Value,202203,73160,275468272
Group Mix,202203,24090,70215490
Nursery,202107,10001,17339742
Nursery,202102,7066,14557234
Ghost,202101,451,1899448
JS Christmas,202101,10980,35628980
JS Christmas,202113,23132,68946582
Lapsed,202103,25972,111763058
,202107,773,1725438
JS Christmas,202108,14026,46995205
Argos Only,202207,38648,140600000
,202206,1454,3782824
JS High Value,202207,151431,444721229
Potential Breakage,202108,3802,24357588
Never Redeemed,202201,11764,47186796
Ghost,202106,547,3170100
Nursery,202206,25111,44712326
JS ARGOS,202207,87080,195803580
JS Low Value,202203,121579,133732455
Lapsed,202106,29136,113135516
Nursery,202202,19482,43416204
JS Christmas,202105,11956,37959324
Argos Only,202208,12490,44972039
Never Redeemed,202107,7962,30532562
Group Mix,202101,2967,9849762
Potential Breakage,202113,13098,92088921
,202109,760,1809171
Lapsed,202201,52637,228657086
Out of Group,202103,5582,13502332
JS Low Value,202105,36530,44552514
Group Mix,202206,51115,115975782
JS High Value,202201,56994,222567018
Out of Group,202206,36209,61664564
JS High Value,202205,95579,317217819
JS ARGOS,202204,37423,106832396
Ghost,202205,1433,7360650
JS ARGOS,202201,19270,57559140
Potential Breakage,202208,1895,11130075
JS Christmas,202207,32841,96830070
Never Redeemed,202105,6971,29475088
JS Low Value,202104,35502,43556496
Argos Only,202103,7763,34387626
,202101,416,1294008
,202105,1800,6393102
Out of Group,202207,51396,76853456
Group Mix,202205,37999,92993932
Lapsed,202108,30418,123029744
Never Redeemed,202205,13189,51909160
Never Redeemed,202206,13265,50099889
Nursery,202201,18882,34873231
Out of Group,202203,20500,45180363
Out of Group,202104,5112,13726296
JS High Value,202108,23927,93428616
,202203,958,2847142
Out of Group,202201,18022,45094163
Ghost,202103,695,3511834
Never Redeemed,202113,10970,44801310
JS High Value,202113,46515,175045642
Argos Only,202202,25939,98638623
JS Christmas,202208,10427,31219386
Unknown,202110,281,1148503
Potential Breakage,202203,5667,36364018
Argos Only,202102,6414,28138778
,202106,1260,3775560
Ghost,202208,266,1411400
Argos Only,202112,17114,62676614
JS Christmas,202106,12577,40835740
Group Mix,202105,4163,13704944
Unknown,202204,426,1593038
JS High Value,202110,65774,351911533
Unknown,202202,484,1549608
,202103,777,2632366
,202104,877,2503000
Group Mix,202103,3572,11605816
Never Redeemed,202111,22856,134772390
JS ARGOS,202206,59176,139133570
JS Christmas,202111,316814,2395229210
,202110,1010,3116245
Nursery,202108,9558,18596316
Out of Group,202106,6712,17704418
Lapsed,202111,114974,699072924
Out of Group,202111,13829,58543083
Lapsed,202104,26981,110624868
JS ARGOS,202202,26343,95510398
JS Low Value,202103,32362,40868484
Nursery,202205,23768,42951098
Potential Breakage,202205,5755,33576754
Argos Only,202109,13046,47512662
Potential Breakage,202101,3453,23886110
,202205,1197,3091652
Group Mix,202104,3227,11683756
JS Low Value,202102,29396,37220076
JS Christmas,202102,9344,30611466
Argos Only,202105,9011,34684230
Potential Breakage,202103,3741,27246578
Never Redeemed,202104,6973,29675788
JS Low Value,202206,237938,224090157
Argos Only,202201,22115,80671913
Lapsed,202105,27606,110193082
,202111,1425,5757402
Lapsed,202208,17177,72977608
JS High Value,202111,147295,896473498
JS Christmas,202110,77564,452911550
Lapsed,202102,22763,98080292
Group Mix,202113,15183,40885153
Group Mix,202106,4243,12912662
Never Redeemed,202112,10282,46026874
,202112,769,2171604
Argos Only,202204,31192,113238569
Out of Group,202108,6834,18987841
Nursery,202101,8274,16322772
JS Christmas,202201,26199,80955155
Never Redeemed,202101,7345,32945512
Nursery,202204,22759,41940832
Unknown,202106,167,443650
JS ARGOS,202107,5674,16801348
Group Mix,202102,2606,9436138
Never Redeemed,202208,4753,18344466
Out of Group,202107,6166,14396732
Potential Breakage,202201,5227,33377339
Ghost,202108,661,4111150
JS Christmas,202204,33049,104243806
Potential Breakage,202107,3903,23793010
JS ARGOS,202111,31921,177229726
Potential Breakage,202207,6098,36160092
Nursery,202104,9158,17148978
Ghost,202112,916,5598440
Never Redeemed,202106,7135,29385286
JS ARGOS,202105,4919,15833282
Never Redeemed,202202,12245,54425504
Unknown,202107,160,499650
Lapsed,202206,53955,225244858
Lapsed,202112,33399,102977459
JS ARGOS,202109,8347,28934970
Ghost,202113,905,4724300
Group Mix,202204,30812,81746153
JS Low Value,202201,90811,106360316
JS ARGOS,202112,12776,40669858
,202204,1115,3538914
JS Christmas,202202,33201,115158876
JS Low Value,202113,75391,87345198
JS Christmas,202112,28873,116063412
Lapsed,202110,62170,301440196
Nursery,202103,8060,16511022
Nursery,202113,16952,32253369
JS Christmas,202203,29091,89544852
Out of Group,202112,13471,32673589
Never Redeemed,202203,11824,49092792
Out of Group,202101,4615,12523496
Group Mix,202111,26590,178794875
Unknown,202206,769,2206380
Argos Only,202203,25542,92583080
Nursery,202208,9832,16532305
JS High Value,202202,76582,344166106
Argos Only,202113,19686,69668082
Argos Only,202106,8967,34747555
,202201,874,2392656
Argos Only,202110,23655,92236344
JS ARGOS,202104,4528,15296398
JS High Value,202103,18918,76817848
Potential Breakage,202106,3753,24704298
Never Redeemed,202103,6585,30819864
Group Mix,202110,14057,62156011
Ghost,202201,1673,9869150
JS High Value,202101,17984,70686880
Potential Breakage,202109,4156,27565551
Ghost,202111,1074,6904800
Argos Only,202108,10162,37679886
Ghost,202204,2234,14084380
Unknown,202203,450,2350638
Out of Group,202109,8630,21301640
JS ARGOS,202106,5297,16400022
Group Mix,202108,4953,17445076
JS Christmas,202109,20063,76541303
Nursery,202203,19576,36740042
JS ARGOS,202208,32886,71858384
JS Low Value,202109,45953,55108541
Never Redeemed,202109,8350,34338798
Never Redeemed,202102,6138,29110672
Group Mix,202107,4466,13426448
Lapsed,202101,25880,108328256
JS Christmas,202205,32008,97032122
Ghost,202110,621,3751025
Nursery,202207,28643,48446675
Unknown,202104,83,276998
JS Christmas,202103,10804,36319918
Group Mix,202207,81511,164600385
JS Christmas,202107,13067,39687596
Nursery,202105,9645,17770962
Potential Breakage,202110,7496,53111731
Never Redeemed,202108,7466,32551304
Never Redeemed,202207,13928,53698221
Ghost,202207,813,4015230
Nursery,202106,9173,16963296
Unknown,202205,645,1742409
Unknown,202111,412,2229224
Potential Breakage,202111,14111,101718610
Nursery,202112,14722,30646200
Out of Group,202105,6137,16104842
Lapsed,202202,58305,265403527
Argos Only,202206,34369,121560560
Lapsed,202205,53699,227257145
Out of Group,202204,24517,51385835
Ghost,202104,532,2582900
JS Low Value,202207,327706,294805189
JS High Value,202104,20100,77802736
JS Low Value,202106,37346,44374802
Never Redeemed,202110,13452,65426557
,202113,767,2032494
,202208,586,1598224
Potential Breakage,202105,3898,25790138
Ghost,202107,1007,7526450
,202207,1634,3820726
Argos Only,202205,34210,118013369
Argos Only,202101,6635,24951114
Lapsed,202203,53992,233589194
Lapsed,202109,35843,143343459
Group Mix,202202,22517,85348375
Out of Group,202113,16600,39991532
JS Low Value,202208,119453,109152870
